Lote,Linea,Palma,Longitud,Latitud
34055,1,1,-73.199519000000,3.717307000000
34055,1,2,-73.199269000000,3.717307000000
34055,2,1,-73.199519000000,3.717557000000
34055,2,2,-73.199269000000,3.717557000000
34055,2,3,-73.199019000000,3.717557000000
34055,3,1,-73.199519000000,3.717807000000
34055,3,2,-73.199269000000,3.717807000000
34055,3,3,-73.199019000000,3.717807000000
34055,3,4,-73.198769000000,3.717807000000
34055,3,5,-73.198519000000,3.717807000000
34055,4,1,-73.199519000000,3.718057000000
34055,4,2,-73.199269000000,3.718057000000
34055,4,3,-73.199019000000,3.718057000000
34055,4,4,-73.198769000000,3.718057000000
34055,4,5,-73.198519000000,3.718057000000
34055,4,6,-73.198269000000,3.718057000000
34055,5,1,-73.199519000000,3.718307000000
34055,5,2,-73.199269000000,3.718307000000
34055,5,3,-73.199019000000,3.718307000000
34055,5,4,-73.198769000000,3.718307000000
34055,5,5,-73.198519000000,3.718307000000
34055,5,6,-73.198269000000,3.718307000000
34055,5,7,-73.198019000000,3.718307000000
34055,5,8,-73.197769000000,3.718307000000
34055,6,1,-73.199769000000,3.718557000000
34055,6,2,-73.199519000000,3.718557000000
34055,6,3,-73.199269000000,3.718557000000
34055,6,4,-73.199019000000,3.718557000000
34055,6,5,-73.198769000000,3.718557000000
34055,6,6,-73.198519000000,3.718557000000
34055,6,7,-73.198269000000,3.718557000000
34055,6,8,-73.198019000000,3.718557000000
34055,6,9,-73.197769000000,3.718557000000
34055,6,10,-73.197519000000,3.718557000000
34055,7,1,-73.199769000000,3.718807000000
34055,7,2,-73.199519000000,3.718807000000
34055,7,3,-73.199269000000,3.718807000000
34055,7,4,-73.199019000000,3.718807000000
34055,7,5,-73.198769000000,3.718807000000
34055,7,6,-73.198519000000,3.718807000000
34055,7,7,-73.198269000000,3.718807000000
34055,7,8,-73.198019000000,3.718807000000
34055,7,9,-73.197769000000,3.718807000000
34055,7,10,-73.197519000000,3.718807000000
34055,7,11,-73.197269000000,3.718807000000
34055,8,1,-73.199769000000,3.719057000000
34055,8,2,-73.199519000000,3.719057000000
34055,8,3,-73.199269000000,3.719057000000
34055,8,4,-73.199019000000,3.719057000000
34055,8,5,-73.198769000000,3.719057000000
34055,8,6,-73.198519000000,3.719057000000
34055,8,7,-73.198269000000,3.719057000000
34055,8,8,-73.198019000000,3.719057000000
34055,8,9,-73.197769000000,3.719057000000
34055,8,10,-73.197519000000,3.719057000000
34055,8,11,-73.197269000000,3.719057000000
34055,9,1,-73.199769000000,3.719307000000
34055,9,2,-73.199519000000,3.719307000000
34055,9,3,-73.199269000000,3.719307000000
34055,9,4,-73.199019000000,3.719307000000
34055,9,5,-73.198769000000,3.719307000000
34055,9,6,-73.198519000000,3.719307000000
34055,9,7,-73.198269000000,3.719307000000
34055,9,8,-73.198019000000,3.719307000000
34055,9,9,-73.197769000000,3.719307000000
